Confirmed Foreign National,Confirmed Indian National,Date,State/UnionTerritory1,Time,Confirmed,Cured,Deaths,Sno
0,1,30-01-2020,Kerala,6:00 PM,1,0,0,1
0,1,31-01-2020,Kerala,6:00 PM,1,0,0,2
0,2,01-02-2020,Kerala,6:00 PM,2,0,0,3
0,3,02-02-2020,Kerala,6:00 PM,3,0,0,4
0,3,03-02-2020,Kerala,6:00 PM,3,0,0,5
0,3,04-02-2020,Kerala,6:00 PM,3,0,0,6
0,3,05-02-2020,Kerala,6:00 PM,3,0,0,7
0,3,06-02-2020,Kerala,6:00 PM,3,0,0,8
0,3,07-02-2020,Kerala,6:00 PM,3,0,0,9
0,3,08-02-2020,Kerala,6:00 PM,3,0,0,10
0,3,09-02-2020,Kerala,6:00 PM,3,0,0,11
0,3,10-02-2020,Kerala,6:00 PM,3,0,0,12
0,3,11-02-2020,Kerala,6:00 PM,3,0,0,13
0,3,12-02-2020,Kerala,6:00 PM,3,0,0,14
0,3,13-02-2020,Kerala,6:00 PM,3,0,0,15
0,3,14-02-2020,Kerala,6:00 PM,3,0,0,16
0,3,15-02-2020,Kerala,6:00 PM,3,0,0,17
0,3,16-02-2020,Kerala,6:00 PM,3,0,0,18
0,3,17-02-2020,Kerala,6:00 PM,3,0,0,19
0,3,18-02-2020,Kerala,6:00 PM,3,0,0,20
0,3,19-02-2020,Kerala,6:00 PM,3,0,0,21
0,3,20-02-2020,Kerala,6:00 PM,3,0,0,22
0,3,21-02-2020,Kerala,6:00 PM,3,0,0,23
0,3,22-02-2020,Kerala,6:00 PM,3,0,0,24
0,3,23-02-2020,Kerala,6:00 PM,3,0,0,25
0,3,24-02-2020,Kerala,6:00 PM,3,0,0,26
0,3,25-02-2020,Kerala,6:00 PM,3,0,0,27
0,3,26-02-2020,Kerala,6:00 PM,3,0,0,28
0,3,27-02-2020,Kerala,6:00 PM,3,0,0,29
0,3,28-02-2020,Kerala,6:00 PM,3,0,0,30
0,3,29-02-2020,Kerala,6:00 PM,3,0,0,31
0,3,01-03-2020,Kerala,6:00 PM,3,0,0,32
0,1,02-03-2020,Telengana,6:00 PM,1,0,0,33
0,3,02-03-2020,Kerala,6:00 PM,3,0,0,34
0,1,02-03-2020,Delhi,6:00 PM,1,0,0,35
0,1,03-03-2020,Telengana,6:00 PM,1,0,0,36
1,0,03-03-2020,Rajasthan,6:00 PM,1,0,0,37
0,3,03-03-2020,Kerala,6:00 PM,3,3,0,38
0,1,03-03-2020,Delhi,6:00 PM,1,0,0,39
0,6,04-03-2020,Uttar Pradesh,6:00 PM,6,0,0,40
0,3,04-03-2020,Kerala,6:00 PM,3,3,0,41
2,0,04-03-2020,Haryana,6:00 PM,2,0,0,42
0,1,04-03-2020,Delhi,6:00 PM,1,0,0,43
0,1,04-03-2020,Telengana,6:00 PM,1,0,0,44
14,1,04-03-2020,Rajasthan,6:00 PM,15,0,0,45
0,2,05-03-2020,Delhi,6:00 PM,2,0,0,46
2,0,05-03-2020,Haryana,6:00 PM,2,0,0,47
0,3,05-03-2020,Kerala,6:00 PM,3,3,0,48
14,1,05-03-2020,Rajasthan,6:00 PM,15,0,0,49
0,1,05-03-2020,Telengana,6:00 PM,1,0,0,50
0,7,05-03-2020,Uttar Pradesh,6:00 PM,7,0,0,51
0,3,06-03-2020,Delhi,6:00 PM,3,0,0,52
2,0,06-03-2020,Haryana,6:00 PM,2,0,0,53
0,3,06-03-2020,Kerala,6:00 PM,3,3,0,54
14,1,06-03-2020,Rajasthan,6:00 PM,15,0,0,55
0,7,06-03-2020,Uttar Pradesh,6:00 PM,7,0,0,56
0,1,06-03-2020,Telengana,6:00 PM,1,0,0,57
0,3,07-03-2020,Kerala,6:00 PM,3,3,0,58
0,7,07-03-2020,Uttar Pradesh,6:00 PM,7,0,0,59
0,2,07-03-2020,Ladakh,6:00 PM,2,0,0,60
